type_content,type_social,type_calendar,type_forum,type_wiki,type_poll,type_other,owner_type_organization,owner_type_space,owner_influence,number_of_likes,number_of_comments,reactivity,is_mentions_me,is_mentions_connections,is_commented_by_me,is_commented_by_connetions,is_liked_by_me,is_liked_by_connections,poster_id,poster_gender_male,poster_gender_female,poster_is_employee,poster_is_lead,poster_is_in_connections,poster_focus_engineering,poster_focus_sales,poster_focus_marketing,poster_focus_management,poster_focus_financial,poster_focus_other,poster_influence,participant1_id,participant1_conversed,participant1_favored,participant1_gender_male,participant1_gender_female,participant1_is_employee,participant1_is_lead,participant1_is_in_connections,participant1_focus_engineering,participant1_focus_sales,participant1_focus_marketing,participant1_focus_management,participant1_focus_financial,participant1_focus_other,participant1_influence,participant2_id,participant2_conversed,participant2_favored,participant2_gender_male,participant2_gender_female,participant2_is_employee,participant2_is_lead,participant2_is_in_connections,participant2_focus_engineering,participant2_focus_sales,participant2_focus_marketing,participant2_focus_management,participant2_focus_financial,participant2_focus_other,participant2_influence,participant3_id,participant3_conversed,participant3_favored,participant3_gender_male,participant3_gender_female,participant3_is_employee,participant3_is_lead,participant3_is_in_connections,participant3_focus_engineering,participant3_focus_sales,participant3_focus_marketing,participant3_focus_management,participant3_focus_financial,participant3_focus_other,participant3_influence,participant4_id,participant4_conversed,participant4_favored,participant4_gender_male,participant4_gender_female,participant4_is_employee,participant4_is_lead,participant4_is_in_connections,participant4_focus_engineering,participant4_focus_sales,participant4_focus_marketing,participant4_focus_management,participant4_focus_financial,participant4_focus_other,participant4_influence,participant5_id,participant5_conversed,participant5_favored,participant5_gender_male,participant5_gender_female,participant5_is_employee,participant5_is_lead,participant5_is_in_connections,participant5_focus_engineering,participant5_focus_sales,participant5_focus_marketing,participant5_focus_management,participant5_focus_financial,participant5_focus_other,participant5_influence,rank
0,0,0,0,0,0,1,0,1,0.1,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,1,0.08257,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.00549
0,0,0,0,0,0,1,0,1,0.1,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,1,0.08257,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.00549
0,0,0,0,0,0,1,0,1,0.1,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,1,0.08257,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.00549
0,0,0,0,0,0,1,0,1,0.1,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,1,0.08257,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.00549
0,0,0,0,0,0,1,0,1,0.1,1,0,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,1,0.08257,145,0,1,0,1,0,0,0,1,0,0,0,0,0,0.99991,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,0.37479
0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,12,1,0,1,0,1,0,1,0,0,0,0,0.99995,12,1,0,1,0,1,0,1,0,1,0,0,0,0,0.99995,5,1,0,1,0,1,0,1,0,0,1,0,0,0,1,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,0.91589
0,0,0,0,0,0,1,0,1,0.1,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,1,0.08257,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.00549
0,0,0,0,0,0,1,1,0,0.1,0,0,0,0,0,0,0,0,0,143,1,0,0,0,1,0,0,1,0,0,0,0.96434,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.42963
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,33,1,0,1,0,1,0,0,1,0,0,0,0.99999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.69231
0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,15,1,0,1,0,1,0,1,0,0,0,0,0.9999,15,1,0,1,0,1,0,1,0,1,0,0,0,0,0.9999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,0.85205
0,0,0,0,0,0,1,0,1,1,8,1,1,0,0,0,1,0,1,16,1,0,1,0,1,0,0,0,0,0,1,0.99999,66,1,0,1,0,1,0,1,0,0,0,0,0,1,0.99999,13,0,1,1,0,1,0,1,0,0,1,0,0,0,1,10,0,1,1,0,1,0,1,0,0,1,0,0,0,1,146,0,1,1,0,1,0,1,0,0,1,0,0,0,1,141,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0.97014
0,0,0,0,0,0,1,0,1,0.98423,0,5,0,0,1,0,1,0,0,50732,1,0,0,0,1,0,0,0,0,0,1,0.0099,22636,1,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,75,1,0,1,0,1,0,1,0,0,1,0,0,0,0.99999,5,1,0,1,0,1,0,1,0,0,1,0,0,0,1,80702,1,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,16,1,0,1,0,1,0,1,0,0,0,0,0,1,0.99999,0.92281
0,0,0,0,0,0,1,0,1,0.98423,1,0,0,0,0,0,0,0,1,16,1,0,1,0,1,0,0,0,0,0,1,0.99999,62,0,1,1,0,1,0,1,0,0,1,0,0,0,0.99997,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,0.81515
0,0,0,0,0,0,1,0,1,1,6,0,1,0,0,0,0,0,1,146,1,0,1,0,1,0,0,1,0,0,0,1,224,0,1,1,0,1,0,0,0,0,1,0,0,0,0.99991,121,0,1,1,0,1,0,1,0,0,1,0,0,0,1,16,0,1,1,0,1,0,1,0,0,0,0,0,1,0.99999,5,0,1,1,0,1,0,1,0,0,1,0,0,0,1,141,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0.968
0,0,0,0,0,0,1,0,1,0.98423,0,0,0,0,0,0,0,0,0,16,1,0,1,0,1,0,0,0,0,0,1,0.99999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.44751
0,0,0,1,0,0,0,0,1,1,0,3,0.51,0,0,0,1,0,0,224,1,0,1,0,0,0,0,1,0,0,0,0.99991,5,1,0,1,0,1,0,1,0,0,1,0,0,0,1,16,1,0,1,0,1,0,1,0,0,0,0,0,1,0.99999,224,1,0,1,0,1,0,0,0,0,1,0,0,0,0.99991,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.94635
0,0,0,0,0,0,1,0,1,1,8,3,0.51,0,1,0,1,0,1,12,1,0,1,0,1,0,1,0,0,0,0,0.99995,5,1,0,1,0,1,0,1,0,0,1,0,0,0,1,12,1,0,1,0,1,0,1,0,1,0,0,0,0,0.99995,121,1,0,1,0,1,0,1,0,0,1,0,0,0,1,66,1,0,1,0,1,0,1,0,0,0,0,0,1,0.99999,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0.99999,0.97688
0,0,0,0,0,0,1,0,1,1,0,2,1,0,1,0,1,0,0,16,1,0,1,0,1,0,0,0,0,0,1,0.99999,5,1,0,1,0,1,0,1,0,0,1,0,0,0,1,16,1,0,1,0,1,0,1,0,0,0,0,0,1,0.99999,121,1,0,1,0,1,0,1,0,0,1,0,0,0,1,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.94635
0,0,0,0,0,0,1,0,1,1,3,0,0.203672797,0,0,0,0,0,1,10,1,0,1,0,1,0,0,1,0,0,0,1,121,0,1,1,0,1,0,1,0,0,1,0,0,0,1,146,0,1,1,0,1,0,1,0,0,1,0,0,0,1,75,0,1,1,0,1,0,1,0,0,1,0,0,0,0.99999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.94385
0,0,0,0,0,0,1,1,0,1,5,0,1,0,0,0,0,0,1,78,0,1,1,0,1,0,0,1,0,0,0,0.99999,10,0,1,1,0,1,0,1,0,0,1,0,0,0,1,121,0,1,1,0,1,0,1,0,0,1,0,0,0,1,16,0,1,1,0,1,0,1,0,0,0,0,0,1,0.99999,4,0,1,1,0,1,0,1,0,0,1,0,0,0,0.99999,55,0,1,1,0,0,0,1,0,0,0,0,0,1,0.32886,0.96198
0,0,0,0,0,0,1,1,0,0.1,0,1,0,0,0,0,1,0,0,16,1,0,1,0,1,0,0,0,0,0,1,0.99999,16,1,0,1,0,1,0,1,0,0,0,0,0,1,0.99999,6956,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0099,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,0.853
0,0,0,1,0,0,0,1,0,0.1,0,2,0,0,0,0,1,0,0,55,1,0,0,0,1,0,0,0,0,0,1,0.32886,34,1,0,1,0,0,0,1,0,0,0,0,0,1,0.99965,55,1,0,1,0,0,0,1,0,0,0,0,0,1,0.32886,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,0.81395
0,0,0,0,0,0,1,0,1,0.1,1,0,0,0,0,0,0,0,1,27,1,0,0,0,1,0,0,0,0,0,1,0.08257,78,0,1,0,1,1,0,1,0,0,1,0,0,0,0.99999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,0.61888
0,0,0,0,0,0,1,0,1,0.1,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,1,0.08257,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.00549
0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,5,1,0,1,0,1,0,0,1,0,0,0,1,5,1,0,1,0,1,0,1,0,0,1,0,0,0,1,19,1,0,1,0,1,0,1,0,0,1,0,0,0,0.99999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,0.93523
0,0,0,0,0,0,1,0,1,0.1,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,1,0.08257,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.00549
0,0,0,0,0,0,1,0,1,0.1,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,1,0.08257,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.00549
0,0,0,0,0,0,1,0,1,0.1,2,0,0,0,0,0,0,0,1,62,1,0,1,0,1,0,0,1,0,0,0,0.99997,78,0,1,0,1,1,0,1,0,0,1,0,0,0,0.99999,11,0,1,1,0,1,0,1,0,0,1,0,0,0,1,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,0.88688
0,0,0,0,0,0,1,1,0,0.1,0,0,0,0,0,0,0,0,0,16,1,0,1,0,1,0,0,0,0,0,1,0.99999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.44751
0,0,0,0,0,0,1,0,1,0.98423,0,0,0,0,0,0,0,0,0,16,1,0,1,0,1,0,0,0,0,0,1,0.99999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.44751
0,0,0,0,0,0,1,1,0,0.1,0,0,0,0,0,0,0,0,0,16,1,0,1,0,1,0,0,0,0,0,1,0.99999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.44751
0,0,0,0,0,0,1,1,0,0.1,0,0,0,0,0,0,0,0,0,16,1,0,1,0,1,0,0,0,0,0,1,0.99999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.44751
0,0,0,0,0,0,1,0,1,0.1,0,0,0,0,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,1,0.08257,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.00549
0,0,0,1,0,0,0,0,1,1,14,9,0,0,1,0,1,0,1,146,1,0,1,0,1,0,0,1,0,0,0,1,4,1,0,1,0,1,0,1,0,0,1,0,0,0,0.99999,10,1,0,1,0,1,0,1,0,0,1,0,0,0,1,5,1,0,1,0,1,0,1,0,0,1,0,0,0,1,121,1,0,1,0,1,0,1,0,0,1,0,0,0,1,364,1,0,0,1,0,0,0,0,0,1,0,0,0,0.99987,0.97688
0,0,0,0,0,0,1,0,1,1,18,0,0.310841819,0,0,0,0,0,1,145,0,1,0,0,0,1,0,0,0,0,0,0.99991,155,0,1,1,0,0,0,0,0,0,1,0,0,0,0.99933,141,0,1,1,0,1,0,0,0,0,1,0,0,0,1,146,0,1,1,0,1,0,1,0,0,1,0,0,0,1,13,0,1,1,0,1,0,1,0,0,1,0,0,0,1,25,0,1,1,0,1,0,1,0,0,1,0,0,0,0.99983,0.96799
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,15,1,0,1,0,1,0,1,0,0,0,0,0.9999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.69228
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,15,1,0,1,0,1,0,1,0,0,0,0,0.9999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.69228
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,15,1,0,1,0,1,0,1,0,0,0,0,0.9999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.69228
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,15,1,0,1,0,1,0,1,0,0,0,0,0.9999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.69228
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,15,1,0,1,0,1,0,1,0,0,0,0,0.9999,22636,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3080,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,44661,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3089,0,0,1,0,0,0,1,0,0,0,0,0,1,0.08257,3084,0,0,1,0,0,0,1,0,0,1,0,0,0,0.08257,0.69228
